card_name,set_code,set_number,priority_score,urgency,core_flex,archetypes,avg_copies
Hilda,,,26.1,URGENT,core,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,3.8
Handheld Fan,,,24.2,HIGH,flex,Mega Lucario;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,3.0
Dreepy,,,23.9,HIGH,core,Dragapult Dusknoir;Blaziken Dragapult;Dragapult Meowth;Dragapult ex,4.0
Drakloak,,,23.5,HIGH,core,Dragapult Dusknoir;Blaziken Dragapult;Dragapult Meowth;Dragapult ex,4.0
Judge,,,22.8,URGENT,core,Mega Lucario;Dragapult Dusknoir;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,2.4
Pokégear 3.0,,,22.7,URGENT,core,Mega Lucario;Dragapult Dusknoir;Garchomp Roserade;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,3.5
Munkidori,,,22.2,URGENT,core,Mega Lucario;Dragapult Dusknoir;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,4.0
Brock's Scouting,,,22.0,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,2.1
Air Balloon,,,21.5,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,2.2
Meowth ex,,,21.4,URGENT,core,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,2.4
Fire Energy,,,21.1,HIGH,core,Dragapult Dusknoir;Blaziken Dragapult;Dragapult Meowth;Dragapult ex;Mewtwo Spidops;Mega Venusaur,3.0
Team Rocket's Petrel,,,20.6,URGENT,core,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,3.5
Crispin,,,20.1,URGENT,core,Mega Lucario;Dragapult Dusknoir;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Froslass Mega Starmie,2.8
Air Balloon,,,19.4,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.9
Budew,,,19.3,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.8
Harlequin,,,18.8,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Garchomp Roserade;Blaziken Dragapult;Grimmsnarl Munkidori;Dragapult ex;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,3.0
Dawn,,,18.7,HIGH,core,Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mega Venusaur;Darmanitan Zoroark,3.2
Team Rocket's Watchtower,,,18.6,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.6
Colress's Tenacity,,,18.5,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Mega Froslass Mega Starmie,2.0
Jamming Tower,,,18.1,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Froslass Mega Starmie,1.9
Switch,,,17.4,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.4
Grass Energy,,,17.3,MODERATE,core,Mewtwo Spidops;Mega Venusaur,12.0
Iris's Fighting Spirit,,,17.2,HIGH,flex,Mega Lucario;Garchomp Roserade;Blaziken Dragapult;Grimmsnarl Munkidori;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,2.2
Pokémon Catcher,,,17.2,HIGH,flex,Dragapult Dusknoir;Grimmsnarl Munkidori;Dragapult ex;Mega Venusaur;Mega Froslass Mega Starmie,4.0
Duskull,,,16.9,HIGH,core,Dragapult Dusknoir;Alakazam Dudunsparce;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Darmanitan Zoroark;Mega Froslass Mega Starmie,2.0
Dragapult ex,,,16.8,HIGH,core,Dragapult Dusknoir;Blaziken Dragapult;Dragapult Meowth;Dragapult ex,3.0
Psyduck,,,16.0,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.0
Shaymin,,,16.0,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.0
Tool Scrapper,,,16.0,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.0
Fezandipiti ex,,,16.0,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.0
Fighting Gong,,,15.4,HIGH,core,Mega Lucario;Garchomp Roserade,4.0
Xerosic's Machinations,,,15.0,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.0
Unfair Stamp,,,15.0,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.0
Lillie's Clefairy ex,,,15.0,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.0
Tool Scrapper,,,15.0,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.0
Energy Switch,,,14.7,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Darmanitan Zoroark;Mega Froslass Mega Starmie,2.0
Premium Power Pro,,,14.1,HIGH,core,Mega Lucario;Garchomp Roserade,4.0
Fezandipiti ex,,,14.1,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Blaziken Dragapult;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.1
Budew,,,13.7,HIGH,flex,Dragapult Dusknoir;Garchomp Roserade;Blaziken Dragapult;Grimmsnarl Munkidori;Dragapult ex;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.9
Kofu,,,13.6,HIGH,flex,Mega Lucario;Garchomp Roserade;Grimmsnarl Munkidori;Mega Venusaur;Mega Froslass Mega Starmie,2.4
Ciphermaniac's Codebreaking,,,13.4,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Blaziken Dragapult;Mega Venusaur;Darmanitan Zoroark,2.0
Battle Cage,,,13.3,HIGH,core,Mega Lucario;Alakazam Dudunsparce;Garchomp Roserade;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark,3.5
Kieran,,,13.1,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Dragapult ex;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.0
Legacy Energy,,,13.0,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Dragapult ex;Mewtwo Spidops;Mega Froslass Mega Starmie,1.0
Tatsugiri,,,13.0,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Garchomp Roserade;Blaziken Dragapult;Grimmsnarl Munkidori;Dragapult ex;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.0
Prime Catcher,,,13.0,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Garchomp Roserade;Blaziken Dragapult;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.0
Maractus,,,13.0,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mega Froslass Mega Starmie,1.0
Lucian,,,12.5,HIGH,flex,Mega Lucario;Garchomp Roserade;Grimmsnarl Munkidori;Dragapult ex;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,2.2
Risky Ruins,,,12.5,HIGH,flex,Dragapult Dusknoir;Blaziken Dragapult;Dragapult Meowth;Dragapult ex;Darmanitan Zoroark;Mega Froslass Mega Starmie,2.5
Enhanced Hammer,,,12.4,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Mega Froslass Mega Starmie,1.4
Energy Search,,,12.3,HIGH,flex,Dragapult Dusknoir;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.2
Hero's Cape,,,12.0,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Blaziken Dragapult;Grimmsnarl Munkidori;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.0
Lucky Helmet,,,11.7,HIGH,flex,Mega Lucario;Alakazam Dudunsparce;Grimmsnarl Munkidori;Mewtwo Spidops;Mega Venusaur,2.7
Dusknoir,,,10.9,HIGH,flex,Dragapult Dusknoir;Alakazam Dudunsparce;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mega Froslass Mega Starmie,1.6
Riolu,,,10.8,HIGH,core,Mega Lucario;Garchomp Roserade,3.3
Team Rocket's Venture Bomb,,,10.8,HIGH,flex,Dragapult Dusknoir;Grimmsnarl Munkidori;Dragapult ex;Mega Froslass Mega Starmie,3.5
Eri,,,10.0,HIGH,flex,Mega Lucario;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult ex;Mega Venusaur;Mega Froslass Mega Starmie,1.3
Dusclops,,,10.0,HIGH,flex,Dragapult Dusknoir;Alakazam Dudunsparce;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.6
Bloodmoon Ursaluna ex,,,10.0,HIGH,flex,Dragapult Dusknoir;Alakazam Dudunsparce;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Froslass Mega Starmie,1.0
Lacey,,,10.0,MODERATE,flex,Dragapult Dusknoir;Grimmsnarl Munkidori,3.0
Mega Lucario ex,,,9.9,HIGH,core,Mega Lucario;Garchomp Roserade,3.0
Water Energy,,,9.7,HIGH,core,Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Mewtwo Spidops;Mega Venusaur;Mega Froslass Mega Starmie,4.7
Acerola's Mischief,,,9.5,HIGH,flex,Mega Lucario;Garchomp Roserade;Dragapult ex;Mega Froslass Mega Starmie,3.0
Hassel,,,9.5,HIGH,flex,Dragapult Dusknoir;Garchomp Roserade;Grimmsnarl Munkidori;Mega Froslass Mega Starmie,2.0
Lt. Surge's Bargain,,,9.0,MODERATE,flex,Mega Lucario,3.0
Secret Box,,,9.0,HIGH,flex,Mega Lucario;Garchomp Roserade;Grimmsnarl Munkidori;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.0
Flutter Mane,,,9.0,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Garchomp Roserade;Blaziken Dragapult;Mega Venusaur,1.0
Salvatore,,,8.9,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Garchomp Roserade;Mega Froslass Mega Starmie,1.5
Gravity Mountain,,,8.7,HIGH,flex,Mega Lucario;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.3
Area Zero Underdepths,,,8.7,HIGH,flex,Dragapult Dusknoir;Blaziken Dragapult;Dragapult Meowth;Dragapult ex;Mega Venusaur,1.5
Wally's Compassion,,,8.6,HIGH,core,Mega Lucario;Mega Venusaur;Mega Froslass Mega Starmie,2.6
Prism Energy,,,8.5,HIGH,flex,Dragapult Meowth;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,2.0
Larry's Skill,,,8.4,HIGH,flex,Mega Lucario;Garchomp Roserade;Grimmsnarl Munkidori;Mega Froslass Mega Starmie,2.0
Wondrous Patch,,,8.2,HIGH,flex,Dragapult Dusknoir;Alakazam Dudunsparce;Dragapult ex;Mewtwo Spidops;Darmanitan Zoroark,1.8
Solrock,,,8.1,HIGH,core,Mega Lucario,2.7
Surfer,,,8.1,HIGH,flex,Mega Lucario;Garchomp Roserade;Dragapult ex;Mega Venusaur;Mega Froslass Mega Starmie,1.6
Explorer's Guidance,,,8.0,MODERATE,flex,Mega Lucario;Dragapult ex,2.0
Latias ex,,,8.0,HIGH,flex,Dragapult Dusknoir;Blaziken Dragapult;Dragapult Meowth;Dragapult ex;Mega Venusaur;Mega Froslass Mega Starmie,1.0
Bronzor,,,7.7,MODERATE,flex,Dragapult Dusknoir;Mega Froslass Mega Starmie,2.0
Frillish,,,7.5,HIGH,flex,Dragapult Dusknoir;Blaziken Dragapult;Dragapult ex,2.0
Bronzor,,,7.5,MODERATE,flex,Dragapult Dusknoir;Mega Froslass Mega Starmie,2.0
Moltres,,,7.3,HIGH,flex,Dragapult Dusknoir;Blaziken Dragapult;Dragapult Meowth;Dragapult ex;Mewtwo Spidops,1.1
Mist Energy,,,7.3,HIGH,flex,Dragapult Dusknoir;Alakazam Dudunsparce;Blaziken Dragapult;Mega Venusaur;Darmanitan Zoroark,1.3
Cornerstone Mask Ogerpon ex,,,7.0,HIGH,flex,Mega Lucario;Alakazam Dudunsparce;Garchomp Roserade;Dragapult ex;Mega Froslass Mega Starmie,1.0
Scoop Up Cyclone,,,7.0,HIGH,flex,Mega Lucario;Garchomp Roserade;Blaziken Dragapult;Mega Venusaur;Mega Froslass Mega Starmie,1.0
Briar,,,7.0,HIGH,flex,Dragapult Dusknoir;Blaziken Dragapult;Dragapult Meowth;Dragapult ex;Mega Venusaur,1.0
Neo Upper Energy,,,7.0,HIGH,flex,Dragapult Dusknoir;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Dragapult ex,1.0
Dudunsparce,,,7.0,HIGH,core,Alakazam Dudunsparce;Garchomp Roserade;Grimmsnarl Munkidori;Mega Froslass Mega Starmie,3.2
Mega Kangaskhan ex,,,6.9,HIGH,flex,Dragapult Dusknoir;Blaziken Dragapult;Mega Venusaur,2.0
Hoothoot,,,6.8,HIGH,flex,Dragapult Dusknoir;Dragapult Meowth;Dragapult ex;Mega Venusaur,1.8
Noctowl,,,6.8,HIGH,flex,Dragapult Dusknoir;Dragapult Meowth;Dragapult ex;Mega Venusaur,1.8
Dunsparce,,,6.7,HIGH,core,Alakazam Dudunsparce;Garchomp Roserade;Grimmsnarl Munkidori;Mega Froslass Mega Starmie,3.2
Makuhita,,,6.6,HIGH,core,Mega Lucario,2.2
Snorunt,,,6.2,HIGH,core,Blaziken Dragapult;Grimmsnarl Munkidori;Mega Froslass Mega Starmie,3.2
Hariyama,,,6.1,HIGH,core,Mega Lucario,2.0
Lunatone,,,6.0,MODERATE,flex,Mega Lucario,2.0
Genesect,,,6.0,HIGH,flex,Mega Lucario;Alakazam Dudunsparce;Dragapult Meowth;Grimmsnarl Munkidori,1.0
Black Belt's Training,,,6.0,HIGH,flex,Mega Lucario;Dragapult Meowth;Mewtwo Spidops;Darmanitan Zoroark,1.0
Togepi,,,6.0,HIGH,flex,Mega Lucario;Alakazam Dudunsparce;Garchomp Roserade;Dragapult ex,1.0
Togekiss,,,6.0,HIGH,flex,Mega Lucario;Alakazam Dudunsparce;Garchomp Roserade;Dragapult ex,1.0
Bronzong,,,6.0,MODERATE,flex,Dragapult Dusknoir;Mega Froslass Mega Starmie,2.0
Repel,,,6.0,HIGH,flex,Dragapult Dusknoir;Grimmsnarl Munkidori;Dragapult ex;Mega Venusaur,1.0
Forest of Vitality,,,6.0,HIGH,core,Garchomp Roserade;Mewtwo Spidops;Mega Venusaur,3.7
Crushing Hammer,,,5.8,MODERATE,flex,Alakazam Dudunsparce;Dragapult ex,3.8
Mega Signal,,,5.6,HIGH,flex,Mega Lucario;Mega Venusaur;Mega Froslass Mega Starmie,1.6
Tera Orb,,,5.6,HIGH,flex,Dragapult Dusknoir;Dragapult ex;Mega Venusaur,1.6
Yveltal,,,5.4,HIGH,flex,Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.2
Bug Catching Set,,,5.2,MODERATE,core,Mewtwo Spidops;Mega Venusaur,4.0
Maximum Belt,,,5.0,HIGH,flex,Mega Lucario;Mewtwo Spidops;Darmanitan Zoroark,1.0
Meddling Memo,,,5.0,HIGH,flex,Mega Lucario;Alakazam Dudunsparce;Garchomp Roserade,1.0
Blowtorch,,,5.0,HIGH,flex,Dragapult Dusknoir;Blaziken Dragapult;Dragapult ex,1.0
Grand Tree,,,5.0,HIGH,flex,Dragapult Dusknoir;Garchomp Roserade;Blaziken Dragapult,1.0
Team Rocket's Transceiver,,,5.0,MODERATE,core,Garchomp Roserade;Mewtwo Spidops,4.0
Torchic,,,4.2,HIGH,core,Blaziken Dragapult;Dragapult Meowth;Mega Venusaur,2.2
Froslass,,,4.2,MODERATE,core,Grimmsnarl Munkidori;Mega Froslass Mega Starmie,2.2
Sacred Ash,,,4.1,HIGH,flex,Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Mewtwo Spidops,1.1
Energy Retrieval,,,4.0,MODERATE,flex,Mega Lucario;Mega Venusaur,1.1
Hop's Cramorant,,,4.0,MODERATE,flex,Mega Lucario;Alakazam Dudunsparce,1.0
Fennel,,,4.0,MODERATE,flex,Mega Lucario;Mega Venusaur,1.0
Kyurem,,,4.0,MODERATE,flex,Mega Lucario;Alakazam Dudunsparce,1.0
Thick Scale,,,4.0,MODERATE,flex,Dragapult Dusknoir;Dragapult Meowth,1.0
Jellicent ex,,,4.0,MODERATE,flex,Dragapult Dusknoir;Blaziken Dragapult,1.0
Lana's Aid,,,4.0,HIGH,flex,Alakazam Dudunsparce;Garchomp Roserade;Mega Venusaur;Mega Froslass Mega Starmie,1.0
Survival Brace,,,4.0,HIGH,flex,Alakazam Dudunsparce;Blaziken Dragapult;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.0
Cynthia's Gible,,,4.0,MODERATE,core,Garchomp Roserade,4.0
Cynthia's Gabite,,,4.0,MODERATE,core,Garchomp Roserade,4.0
Blaziken ex,,,4.0,HIGH,core,Blaziken Dragapult;Dragapult Meowth;Mega Venusaur,2.0
Mega Absol ex,,,4.0,HIGH,flex,Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex,1.0
Pecharunt ex,,,4.0,HIGH,flex,Grimmsnarl Munkidori;Dragapult ex;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.0
Team Rocket's Energy,,,4.0,MODERATE,core,Mewtwo Spidops,4.0
Team Rocket's Tarountula,,,4.0,MODERATE,core,Mewtwo Spidops,4.0
Team Rocket's Spidops,,,4.0,MODERATE,core,Mewtwo Spidops,4.0
N's Zorua,,,4.0,MODERATE,core,Darmanitan Zoroark,4.0
N's Zoroark ex,,,4.0,MODERATE,core,Darmanitan Zoroark,4.0
Teal Mask Ogerpon ex,,,3.9,MODERATE,core,Mega Venusaur,3.9
Abra,,,3.8,MODERATE,core,Alakazam Dudunsparce,3.8
Nighttime Mine,,,3.8,HIGH,flex,Alakazam Dudunsparce;Garchomp Roserade;Mega Froslass Mega Starmie,1.5
Team Rocket's Factory,,,3.8,MODERATE,core,Grimmsnarl Munkidori;Mewtwo Spidops,2.8
Cyrano,,,3.8,MODERATE,core,Mega Venusaur;Darmanitan Zoroark,2.8
Kadabra,,,3.7,MODERATE,core,Alakazam Dudunsparce,3.7
Spikemuth Gym,,,3.6,MODERATE,core,Grimmsnarl Munkidori,3.6
Clefable,,,3.5,MODERATE,flex,Grimmsnarl Munkidori;Mega Venusaur,2.0
Snorunt,,,3.5,MODERATE,flex,Mega Froslass Mega Starmie,3.5
Dunsparce,,,3.4,MODERATE,flex,Alakazam Dudunsparce;Mega Froslass Mega Starmie,1.7
